name,level,school,casting_time,range,components,material_components,duration,concentration,ritual,description,higher_levels,source
Negative Energy Flood,5,Necromancy,1 action,60 feet,V M,a broken bone and a square of black silk,Instantaneous,false,false,"You send ribbons of negative energy at one creature you can see within range. Unless the target is undead, it must make a Constitution saving throw, taking 5d12 necrotic damage on a failed save, or half as much damage on a successful one.",,OFFICIAL
Passwall,5,Transmutation,1 action,30 feet,V S M,a pinch of sesame seeds,1 hour,false,false,"A passage appears at a point of your choice that you can see on a wooden, plaster, or stone surface (such as a wall, a ceiling, or a floor) within range, and lasts for the duration. You choose the opening's dimensions: up to 5 feet wide, 8 feet tall, and 20 feet deep.",,OFFICIAL
Planar Binding,5,Abjuration,1 hour,60 feet,V S M,a jewel worth at least 1000 gp consumed,24 hours,false,false,"With this spell, you attempt to bind a celestial, an elemental, a fey, or a fiend to your service. The creature must be within range for the entire casting of the spell.","When you cast this spell using a spell slot of a higher level, the duration increases to 10 days with a 6th-level slot, to 30 days with a 7th-level slot, to 180 days with an 8th-level slot, and to a year and a day with a 9th-level spell slot.",OFFICIAL
Raise Dead,5,Necromancy,1 hour,Touch,V S M,a diamond worth at least 500 gp consumed,Instantaneous,false,false,"You return a dead creature you touch to life, provided that it has been dead no longer than 10 days. If the creature's soul is both willing and at liberty to rejoin the body, the creature returns to life with 1 hit point.",,OFFICIAL
Rary's Telepathic Bond,5,Divination,1 action,30 feet,V S M,pieces of eggshell from two different kinds of creatures,1 hour,false,true,"You forge a telepathic link among up to eight willing creatures of your choice within range, psychically linking each creature to all the others for the duration.",,OFFICIAL
Reincarnate,5,Transmutation,1 hour,Touch,V S M,rare oils and unguents worth at least 1000 gp consumed,Instantaneous,false,false,"You touch a dead humanoid or a piece of a dead humanoid. Provided that the creature has been dead no longer than 10 days, the spell forms a new adult body for it and then calls the soul to enter that body.",,OFFICIAL
Scrying,5,Divination,10 minutes,Self,V S M,a focus worth at least 1000 gp such as a crystal ball a silver mirror or a font filled with holy water,10 minutes,true,false,"You can see and hear a particular creature you choose that is on the same plane of existence as you. The target must make a Wisdom saving throw, which is modified by how well you know the target and the sort of physical connection you have to it.",,OFFICIAL
Seeming,5,Illusion,1 action,30 feet,V S,,8 hours,false,false,"This spell allows you to change the appearance of any number of creatures that you can see within range. You give each target you choose a new, illusory appearance.",,OFFICIAL
Skill Empowerment,5,Transmutation,1 action,Touch,V S,,1 hour,true,false,"Your magic deepens a creature's understanding of its own talent. You touch one willing creature and give it expertise in one skill of your choice; until the spell ends, the creature doubles its proficiency bonus for ability checks it makes that use the chosen skill.",,OFFICIAL
Steel Wind Strike,5,Conjuration,1 action,30 feet,S M,a melee weapon worth at least 1 sp,Instantaneous,false,false,"You flourish the weapon used in the casting and then vanish to strike like the wind. Choose up to five creatures you can see within range. Make a melee spell attack against each target. On a hit, a target takes 6d10 force damage.",,OFFICIAL
Swift Quiver,5,Transmutation,1 bonus action,Touch,V S M,a quiver containing at least one piece of ammunition,1 minute,true,false,"You transmute your quiver so it produces an endless supply of nonmagical ammunition, which seems to leap into your hand when you reach for it.",,OFFICIAL
Synaptic Static,5,Enchantment,1 action,120 feet,V S,,Instantaneous,false,false,"You choose a point within range and cause psychic energy to explode there. Each creature in a 20-foot-radius sphere centered on that point must make an Intelligence saving throw. A creature with an Intelligence score of 2 or lower can't be affected by this spell. A target takes 8d6 psychic damage on a failed save, or half as much damage on a successful one.",,OFFICIAL
Telekinesis,5,Transmutation,1 action,60 feet,V S,,10 minutes,true,false,"You gain the ability to move or manipulate creatures or objects by thought. When you cast the spell, and as your action each round for the duration, you can exert your will on one creature or object that you can see within range.",,OFFICIAL
Teleportation Circle,5,Conjuration,1 minute,10 feet,V M,rare chalks and inks infused with precious gems worth 50 gp consumed,1 round,false,false,"As you cast the spell, you draw a 10-foot-diameter circle on the ground inscribed with sigils that link your location to a permanent teleportation circle of your choice whose sigil sequence you know and that is on the same plane of existence as you.",,OFFICIAL
Transmute Rock,5,Transmutation,1 action,120 feet,V S M,clay and water,Until dispelled,false,false,"You choose an area of stone or mud that you can see that fits within a 40-foot cube and is within range, and choose one of the following effects: Transmute Rock to Mud or Transmute Mud to Rock.",,OFFICIAL
Tree Stride,5,Conjuration,1 action,Self,V S,,1 minute,true,false,"You gain the ability to enter a tree and move from inside it to inside another tree of the same kind within 500 feet. Both trees must be living and at least the same size as you.",,OFFICIAL
Wall of Force,5,Evocation,1 action,120 feet,V S M,a pinch of powder made by crushing a clear gemstone,10 minutes,true,false,"An invisible wall of force springs into existence at a point you choose within range. The wall appears in any orientation you choose, as a horizontal or vertical barrier or at an angle. It can be free floating or resting on a solid surface.",,OFFICIAL
Wall of Light,5,Evocation,1 action,120 feet,V S M,a hand mirror,10 minutes,true,false,"A shimmering wall of bright light appears at a point you choose within range. The wall appears in any orientation you choose: horizontally, vertically, or diagonally. It can be free floating, or it can rest on a solid surface.","When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d8 for each slot level above 5th.",OFFICIAL
Wall of Stone,5,Evocation,1 action,120 feet,V S M,a small block of granite,10 minutes,true,false,"A nonmagical wall of solid stone springs into existence at a point you choose within range. The wall is 6 inches thick and is composed of ten 10-foot-by-10-foot panels.",,OFFICIAL
Wrath of Nature,5,Evocation,1 action,120 feet,V S,,1 minute,true,false,"You call out to the spirits of nature to rouse them against your enemies. Choose a point you can see within range. The spirits cause trees, rocks, and grasses in a 60-foot cube centered on that point to become animated until the spell ends.",,OFFICIAL
Arcane Gate,6,Conjuration,1 action,500 feet,V S,,10 minutes,true,false,"You create linked teleportation portals that remain open for the duration. Choose two points on the ground that you can see, one point within 10 feet of you and one point within 500 feet of you.",,OFFICIAL
Blade Barrier,6,Evocation,1 action,90 feet,V S,,10 minutes,true,false,"You create a vertical wall of whirling, razor-sharp blades made of magical energy. The wall appears within range and lasts for the duration. You can make a straight wall up to 100 feet long, 20 feet high, and 5 feet thick, or a ringed wall up to 60 feet in diameter, 20 feet high, and 5 feet thick.",,OFFICIAL
Bones of the Earth,6,Transmutation,1 action,120 feet,V S,,Instantaneous,false,false,"You cause up to six pillars of stone to burst from places on the ground that you can see within range. Each pillar is a cylinder that has a diameter of 5 feet and a height of up to 30 feet.","When you cast this spell using a spell slot of 7th level or higher, you can create two additional pillars for each slot level above 6th.",OFFICIAL
Chain Lightning,6,Evocation,1 action,150 feet,V S M,a bit of fur a piece of amber glass rod and three silver pins,Instantaneous,false,false,"You create a bolt of lightning that arcs toward a target of your choice that you can see within range. Three bolts then leap from that target to as many as three other targets, each of which must be within 30 feet of the first target.","When you cast this spell using a spell slot of 7th level or higher, one additional bolt leaps from the first target to another target for each slot level above 6th.",OFFICIAL
Circle of Death,6,Necromancy,1 action,150 feet,V S M,the powder of a crushed black pearl worth at least 500 gp,Instantaneous,false,false,"A sphere of negative energy ripples out in a 60-foot-radius sphere from a point within range. Each creature in that area must make a Constitution saving throw. A target takes 8d6 necrotic damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 7th level or higher, the damage increases by 2d6 for each slot level above 6th.",OFFICIAL
Conjure Fey,6,Conjuration,1 minute,90 feet,V S,,1 hour,true,false,"You summon a fey creature of challenge rating 6 or lower, or a fey spirit that takes the form of a beast of challenge rating 6 or lower.","When you cast this spell using a spell slot of 7th level or higher, the challenge rating increases by 1 for each slot level above 6th.",OFFICIAL
Contingency,6,Evocation,10 minutes,Self,V S M,a statuette of yourself carved from ivory and decorated with gems worth at least 1500 gp,10 days,false,false,"Choose a spell of 5th level or lower that you can cast, that has a casting time of 1 action, and that can target you. You cast that spell, called the contingent spell, as part of casting contingency, expending spell slots for both, but the contingent spell doesn't come into effect.",,OFFICIAL
Create Undead,6,Necromancy,1 minute,10 feet,V S M,one clay pot filled with grave dirt one clay pot filled with brackish water and one 150 gp black onyx stone for each corpse,Instantaneous,false,false,"You can cast this spell only at night. Choose up to three corpses of Medium or Small humanoids within range. Each corpse becomes a ghoul under your control.","When you cast this spell using a 7th-level spell slot, you can animate or reassert control over four ghouls. When you cast this spell using an 8th-level spell slot, you can animate or reassert control over five ghouls or two ghasts or wights. When you cast this spell using a 9th-level spell slot, you can animate or reassert control over six ghouls, three ghasts or wights, or two mummies.",OFFICIAL
Disintegrate,6,Transmutation,1 action,60 feet,V S M,a lodestone and a pinch of dust,Instantaneous,false,false,"A thin green ray springs from your pointing finger to a target that you can see within range. The target can be a creature, an object, or a creation of magical force. A creature targeted by this spell must make a Dexterity saving throw. On a failed save, the target takes 10d6 + 40 force damage.","When you cast this spell using a spell slot of 7th level or higher, the damage increases by 3d6 for each slot level above 6th.",OFFICIAL
Drawmij's Instant Summons,6,Conjuration,1 minute,Touch,V S M,a sapphire worth 1000 gp,Until dispelled,false,true,"You touch an object weighing 10 pounds or less whose longest dimension is 6 feet or less. The spell leaves an invisible mark on its surface and invisibly inscribes the name of the item on the sapphire you use as the material component.",,OFFICIAL
Eyebite,6,Necromancy,1 action,Self,V S,,1 minute,true,false,"For the spell's duration, your eyes become an inky void imbued with dread power. One creature of your choice within 60 feet of you that you can see must succeed on a Wisdom saving throw or be affected by one of the following effects of your choice for the duration: Asleep, Panicked, or Sickened.",,OFFICIAL
Find the Path,6,Divination,1 minute,Self,V S M,a set of divinatory tools such as bones ivory sticks cards teeth or carved runes worth 100 gp and an object from the location you wish to find,1 day,true,false,"This spell allows you to find the shortest, most direct physical route to a specific fixed location that you are familiar with on the same plane of existence.",,OFFICIAL
Flesh to Stone,6,Transmutation,1 action,60 feet,V S M,a pinch of lime chalk and water,1 minute,true,false,"You attempt to turn one creature that you can see within range into stone. If the target's body is made of flesh, the creature must make a Constitution saving throw. On a failed save, it is restrained as its flesh begins to harden.",,OFFICIAL
Forbiddance,6,Abjuration,10 minutes,Touch,V S M,a sprinkling of holy water rare incense and powdered ruby worth at least 1000 gp,1 day,false,true,"You create a ward against magical travel that protects up to 40,000 square feet of floor space to a height of 30 feet above the floor. For the duration, creatures can't teleport into the area or use portals to enter the area.",,OFFICIAL
Globe of Invulnerability,6,Abjuration,1 action,Self (10-foot radius),V S M,a glass or crystal bead that shatters when the spell ends,1 minute,true,false,"An immobile, faintly shimmering barrier springs into existence in a 10-foot radius around you and remains for the duration. Any spell of 5th level or lower cast from outside the barrier can't affect creatures or objects within it.","When you cast this spell using a spell slot of 7th level or higher, the barrier blocks spells of one level higher for each slot level above 6th.",OFFICIAL
Guards and Wards,6,Abjuration,10 minutes,Touch,V S M,burning incense a small measure of brimstone and oil a knotted string a small amount of umber hulk blood and a small silver rod worth at least 10 gp,24 hours,false,false,"You create a ward that protects up to 2,500 square feet of floor space. The warded area can be up to 20 feet tall, and shaped as you desire.",,OFFICIAL
Harm,6,Necromancy,1 action,60 feet,V S,,Instantaneous,false,false,"You unleash a virulent disease on a creature that you can see within range. The target must make a Constitution saving throw. On a failed save, it takes 14d6 necrotic damage, or half as much damage on a successful save. The damage can't reduce the target's hit points below 1.",,OFFICIAL
Heal,6,Evocation,1 action,60 feet,V S,,Instantaneous,false,false,"Choose a creature that you can see within range. A surge of positive energy washes through the creature, causing it to regain 70 hit points. This spell also ends blindness, deafness, and any diseases affecting the target.","When you cast this spell using a spell slot of 7th level or higher, the amount of healing increases by 10 for each slot level above 6th.",OFFICIAL
Heroes' Feast,6,Conjuration,10 minutes,30 feet,V S M,a gem-encrusted bowl worth at least 1000 gp consumed,Instantaneous,false,false,"You bring forth a great feast, including magnificent food and drink. The feast takes 1 hour to consume and disappears at the end of that time, and the beneficial effects don't set in until this hour is over.",,OFFICIAL
Investiture of Flame,6,Transmutation,1 action,Self,V S,,10 minutes,true,false,"Flames race across your body, shedding bright light in a 30-foot radius and dim light for an additional 30 feet for the spell's duration. The flames don't harm you. Until the spell ends, you gain several benefits.",,OFFICIAL
Investiture of Ice,6,Transmutation,1 action,Self,V S,,10 minutes,true,false,"Until the spell ends, ice rimes your body, and you gain several benefits.",,OFFICIAL
Investiture of Stone,6,Transmutation,1 action,Self,V S,,10 minutes,true,false,"Until the spell ends, bits of rock spread across your body, and you gain several benefits.",,OFFICIAL
Investiture of Wind,6,Transmutation,1 action,Self,V S,,10 minutes,true,false,"Until the spell ends, wind whirls around you, and you gain several benefits.",,OFFICIAL
Magic Jar,6,Necromancy,1 minute,Self,V S M,a gem crystal reliquary or some other ornamental container worth at least 500 gp,Until dispelled,false,false,"Your body falls into a catatonic state as your soul leaves it and enters the container you used for the spell's material component. While your soul inhabits the container, you are aware of your surroundings as if you were in the container's space.",,OFFICIAL
Mass Suggestion,6,Enchantment,1 action,60 feet,V M,a snake's tongue and either a bit of honeycomb or a drop of sweet oil,24 hours,false,false,"You suggest a course of activity (limited to a sentence or two) and magically influence up to twelve creatures of your choice that you can see within range and that can hear and understand you.","When you cast this spell using a 7th-level spell slot, the duration is 10 days. When you use an 8th-level spell slot, the duration is 30 days. When you use a 9th-level spell slot, the duration is a year and a day.",OFFICIAL
Mental Prison,6,Illusion,1 action,60 feet,S,,1 minute,true,false,"You attempt to bind a creature within an illusory cell that only it perceives. One creature you can see within range must make an Intelligence saving throw. The target automatically succeeds if it is immune to being charmed. On a failed save, the target takes 5d10 psychic damage.",,OFFICIAL
Move Earth,6,Transmutation,1 action,120 feet,V S M,an iron blade and a small bag containing a mixture of soils—clay loam and sand,2 hours,true,false,"Choose an area of terrain no larger than 40 feet on a side within range. You can reshape dirt, sand, or clay in the area in any manner you choose for the duration.",,OFFICIAL
Otiluke's Freezing Sphere,6,Evocation,1 action,300 feet,V S M,a small crystal sphere,Instantaneous,false,false,"A frigid globe of cold energy streaks from your fingertips to a point of your choice within range, where it explodes in a 60-foot-radius sphere. Each creature within the area must make a Constitution saving throw. On a failed save, a creature takes 10d6 cold damage. On a successful save, it takes half as much damage.","When you cast this spell using a spell slot of 7th level or higher, the damage increases by 1d6 for each slot level above 6th.",OFFICIAL
Otto's Irresistible Dance,6,Enchantment,1 action,30 feet,V,,1 minute,true,false,"Choose one creature that you can see within range. The target begins a comic dance in place: shuffling, tapping its feet, and capering for the duration. Creatures that can't be charmed are immune to this spell.",,OFFICIAL
Planar Ally,6,Conjuration,10 minutes,60 feet,V S,,Instantaneous,false,false,"You beseech an otherworldly entity for aid. The being must be known to you: a god, a primordial, a demon prince, or some other being of cosmic power.",,OFFICIAL
Primordial Ward,6,Abjuration,1 action,Self,V S,,1 minute,true,false,"You have resistance to acid, cold, fire, lightning, and thunder damage for the spell's duration. When you take damage of one of those types, you can use your reaction to gain immunity to that type of damage, including against the triggering damage.",,OFFICIAL
Programmed Illusion,6,Illusion,1 action,120 feet,V S M,a bit of fleece and jade dust worth at least 25 gp,Until dispelled,false,false,"You create an illusion of an object, a creature, or some other visible phenomenon within range that activates when a specific condition occurs. The illusion is imperceptible until then.",,OFFICIAL
Scatter,6,Conjuration,1 action,30 feet,V,,Instantaneous,false,false,"The air quivers around up to five creatures of your choice that you can see within range. An unwilling creature must succeed on a Wisdom saving throw to resist this spell. You teleport each affected target to an unoccupied space that you can see within 120 feet of you.",,OFFICIAL
Soul Cage,6,Necromancy,1 reaction,60 feet,V S M,a tiny silver cage worth 100 gp,8 hours,false,false,"This spell snatches the soul of a humanoid as it dies and traps it inside the tiny cage you use for the material component. A stolen soul remains inside the cage until the spell ends or until you destroy the cage, which ends the spell.",,OFFICIAL
Summon Fiend,6,Conjuration,1 action,90 feet,V S M,humanoid blood inside a ruby vial worth at least 600 gp,1 hour,true,false,"You call forth a fiendish spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Fiendish Spirit stat block. When you cast the spell, choose Demon, Devil, or Yugoloth.","When you cast this spell using a spell slot of 7th level or higher, use the higher level wherever the spell's level appears in the stat block.",OFFICIAL
Sunbeam,6,Evocation,1 action,Self (60-foot line),V S M,a magnifying glass,1 minute,true,false,"A beam of brilliant light flashes out from your hand in a 5-foot-wide, 60-foot-long line. Each creature in the line must make a Constitution saving throw. On a failed save, a creature takes 6d8 radiant damage and is blinded until your next turn.",,OFFICIAL
Tasha's Otherworldly Guise,6,Transmutation,1 bonus action,Self,V S M,an object engraved with a symbol of the Outer Planes worth at least 500 gp,1 minute,true,false,"Uttering an incantation, you draw on the magic of the Lower Planes or Upper Planes (your choice) to transform yourself.",,OFFICIAL
Tenser's Transformation,6,Transmutation,1 action,Self,V S M,a few hairs from a bull,10 minutes,true,false,"You endow yourself with endurance and martial prowess fueled by magic. Until the spell ends, you can't cast spells, and you gain several benefits.",,OFFICIAL
Transport via Plants,6,Conjuration,1 action,10 feet,V S,,1 round,false,false,"This spell creates a magical link between a Large or larger inanimate plant within range and another plant, at any distance, on the same plane of existence.",,OFFICIAL
True Seeing,6,Divination,1 action,Touch,V S M,an ointment for the eyes that costs 25 gp made from mushroom powder saffron and fat and is consumed,1 hour,false,false,"This spell gives the willing creature you touch the ability to see things as they actually are. For the duration, the creature has truesight, notices secret doors hidden by magic, and can see into the Ethereal Plane, all out to a range of 120 feet.",,OFFICIAL
Wall of Ice,6,Evocation,1 action,120 feet,V S M,a small piece of quartz,10 minutes,true,false,"You create a wall of ice on a solid surface within range. You can form it into a hemispherical dome or a sphere with a radius of up to 10 feet, or you can shape a flat surface made up of ten 10-foot-square panels.","When you cast this spell using a spell slot of 7th level or higher, the damage the wall deals when it appears increases by 2d6, and the damage from passing through the sheet of frigid air increases by 1d6, for each slot level above 6th.",OFFICIAL
Wall of Thorns,6,Conjuration,1 action,120 feet,V S M,a handful of thorns,10 minutes,true,false,"You create a wall of tough, pliable, tangled brush bristling with needle-sharp thorns. The wall appears within range on a solid surface and lasts for the duration.","When you cast this spell using a spell slot of 7th level or higher, both types of damage increase by 1d8 for each slot level above 6th.",OFFICIAL
Wind Walk,6,Transmutation,1 minute,30 feet,V S M,fire and holy water,8 hours,false,false,"You and up to ten willing creatures you can see within range assume a gaseous form for the duration, appearing as wisps of cloud.",,OFFICIAL
Word of Recall,6,Conjuration,1 action,5 feet,V,,Instantaneous,false,false,"You and up to five willing creatures within 5 feet of you instantly teleport to a previously designated sanctuary. You and any creatures that teleport with you appear in the nearest unoccupied space to the spot you designated when you prepared your sanctuary.",,OFFICIAL
Conjure Celestial,7,Conjuration,1 minute,90 feet,V S,,1 hour,true,false,"You summon a celestial of challenge rating 4 or lower, which appears in an unoccupied space that you can see within range.","When you cast this spell using a 9th-level spell slot, you summon a celestial of challenge rating 5 or lower.",OFFICIAL
Crown of Stars,7,Evocation,1 action,Self,V S,,1 hour,false,false,"Seven star-like motes of light appear and orbit your head until the spell ends. You can use a bonus action to send one of the motes streaking toward one creature or object within 120 feet of you. When you do so, make a ranged spell attack. On a hit, the target takes 4d12 radiant damage.","When you cast this spell using a spell slot of 8th level or higher, the number of motes created increases by two for each slot level above 7th.",OFFICIAL
Delayed Blast Fireball,7,Evocation,1 action,150 feet,V S M,a tiny ball of bat guano and sulfur,1 minute,true,false,"A beam of yellow light flashes from your pointing finger, then condenses to linger at a chosen point within range as a glowing bead for the duration. When the spell ends, either because your concentration is broken or because you decide to end it, the bead blossoms with a low roar into an explosion of flame.","When you cast this spell using a spell slot of 8th level or higher, the base damage increases by 1d6 for each slot level above 7th.",OFFICIAL
Divine Word,7,Evocation,1 bonus action,30 feet,V,,Instantaneous,false,false,"You utter a divine word, imbued with the power that shaped the world at the dawn of creation. Choose any number of creatures you can see within range. Each creature that can hear you must make a Charisma saving throw.",,OFFICIAL
Draconic Transformation,7,Transmutation,1 bonus action,Self,V S M,a statuette of a dragon worth at least 500 gp,1 minute,true,false,"With a roar, you draw on the magic of dragons to transform yourself, taking on draconic features. You gain several benefits.",,OFFICIAL
Dream of the Blue Veil,7,Conjuration,10 minutes,20 feet,V S M,a magic item or a willing creature from the destination world,6 hours,false,false,"You and up to eight willing creatures within range fall unconscious for the spell's duration and experience visions of another world on the Material Plane.",,OFFICIAL
Etherealness,7,Transmutation,1 action,Self,V S,,Up to 8 hours,false,false,"You step into the border regions of the Ethereal Plane, in the area where it overlaps with your current plane. You remain in the Border Ethereal for the duration or until you use your action to dismiss the spell.","When you cast this spell using a spell slot of 8th level or higher, you can target up to three willing creatures (including you) for each slot level above 7th.",OFFICIAL
Finger of Death,7,Necromancy,1 action,60 feet,V S,,Instantaneous,false,false,"You send negative energy coursing through a creature that you can see within range, causing it searing pain. The target must make a Constitution saving throw. It takes 7d8 + 30 necrotic damage on a failed save, or half as much damage on a successful one.",,OFFICIAL
Fire Storm,7,Evocation,1 action,150 feet,V S,,Instantaneous,false,false,"A storm made up of sheets of roaring flame appears in a location you choose within range. The area of the storm consists of up to ten 10-foot cubes, which you can arrange as you wish. Each cube must have at least one face adjacent to the face of another cube.",,OFFICIAL
Forcecage,7,Evocation,1 action,100 feet,V S M,ruby dust worth 1500 gp,1 hour,false,false,"An immobile, invisible, cube-shaped prison composed of magical force springs into existence around an area you choose within range. The prison can be a cage or a solid box, as you choose.",,OFFICIAL
Mirage Arcane,7,Illusion,10 minutes,Sight,V S,,10 days,false,false,"You make terrain in an area up to 1 mile square look, sound, smell, and even feel like some other sort of terrain. The terrain's general shape remains the same, however.",,OFFICIAL
Mordenkainen's Magnificent Mansion,7,Conjuration,1 minute,300 feet,V S M,a miniature portal carved from ivory a small piece of polished marble and a tiny silver spoon each item worth at least 5 gp,24 hours,false,false,"You conjure an extradimensional dwelling in range that lasts for the duration. You choose where its one entrance is located. The entrance shimmers faintly and is 5 feet wide and 10 feet tall.",,OFFICIAL
Mordenkainen's Sword,7,Evocation,1 action,60 feet,V S M,a miniature platinum sword with a grip and pommel of copper and zinc worth 250 gp,1 minute,true,false,"You create a sword-shaped plane of force that hovers within range. It lasts for the duration. When the sword appears, you make a melee spell attack against a target of your choice within 5 feet of the sword. On a hit, the target takes 3d10 force damage.","When you cast this spell using a spell slot of 8th level or higher, the damage increases by 1d10 for each slot level above 7th.",OFFICIAL
Plane Shift,7,Conjuration,1 action,Touch,V S M,a forked metal rod worth at least 250 gp attuned to a particular plane of existence,Instantaneous,false,false,"You and up to eight willing creatures who link hands in a circle are transported to a different plane of existence. You can specify a target destination in general terms, such as the City of Brass on the Elemental Plane of Fire or the palace of Dispater on the second level of the Nine Hells.",,OFFICIAL
Power Word Pain,7,Enchantment,1 action,60 feet,V,,Instantaneous,false,false,"You speak a word of power that causes waves of intense pain to assail one creature you can see within range. If the target has 100 hit points or fewer, it is subject to crippling pain.",,OFFICIAL
Prismatic Spray,7,Evocation,1 action,Self (60-foot cone),V S,,Instantaneous,false,false,"Eight multicolored rays of light flash from your hand. Each ray is a different color and has a different power and purpose. Each creature in a 60-foot cone must make a Dexterity saving throw. For each target, roll a d8 to determine which color ray affects it.",,OFFICIAL
Project Image,7,Illusion,1 action,500 miles,V S M,a small replica of you made from materials worth at least 5 gp,1 day,true,false,"You create an illusory copy of yourself that lasts for the duration. The copy can appear at any location within range that you have seen before, regardless of intervening obstacles.",,OFFICIAL
Regenerate,7,Transmutation,1 minute,Touch,V S M,a prayer wheel and holy water,1 hour,false,false,"You touch a creature and stimulate its natural healing ability. The target regains 4d8 + 15 hit points. For the duration of the spell, the target regains 1 hit point at the start of each of its turns.",,OFFICIAL
Resurrection,7,Necromancy,1 hour,Touch,V S M,a diamond worth at least 1000 gp consumed,Instantaneous,false,false,"You touch a dead creature that has been dead for no more than a century, that didn't die of old age, and that isn't undead. If its soul is free and willing, the target returns to life with all its hit points.",,OFFICIAL
Reverse Gravity,7,Transmutation,1 action,100 feet,V S M,a lodestone and iron filings,1 minute,true,false,"This spell reverses gravity in a 50-foot-radius, 100-foot high cylinder centered on a point within range. All creatures and objects that aren't somehow anchored to the ground in the area fall upward and reach the top of the area when you cast this spell.",,OFFICIAL
Sequester,7,Transmutation,1 action,Touch,V S M,a powder composed of diamond emerald ruby and sapphire dust worth at least 5000 gp consumed,Until dispelled,false,false,"By means of this spell, a willing creature or an object can be hidden away, safe from detection for the duration. When you cast the spell and touch the target, it becomes invisible and can't be targeted by divination spells or perceived through scrying sensors created by divination spells.",,OFFICIAL
Simulacrum,7,Illusion,12 hours,Touch,V S M,snow or ice in quantities sufficient to make a life-size copy of the duplicated creature some hair fingernail clippings or other piece of that creature's body placed inside the snow or ice and powdered ruby worth 1500 gp consumed,Until dispelled,false,false,"You shape an illusory duplicate of one beast or humanoid that is within range for the entire casting time of the spell. The duplicate is a creature, partially real and formed from ice or snow, and it can take actions and otherwise be affected as a normal creature.",,OFFICIAL
Symbol,7,Abjuration,1 minute,Touch,V S M,mercury phosphorus and powdered diamond and opal with a total value of at least 1000 gp consumed,Until dispelled or triggered,false,false,"When you cast this spell, you inscribe a harmful glyph either on a surface (such as a section of floor, a wall, or a table) or within an object that can be closed to conceal the glyph (such as a book, a scroll, or a treasure chest).",,OFFICIAL
Teleport,7,Conjuration,1 action,10 feet,V,,Instantaneous,false,false,"This spell instantly transports you and up to eight willing creatures of your choice that you can see within range, or a single object that you can see within range, to a destination you select.",,OFFICIAL
Whirlwind,7,Evocation,1 action,300 feet,V M,a piece of straw,1 minute,true,false,"A whirlwind howls down to a point that you can see on the ground within range. The whirlwind is a 10-foot-radius, 30-foot-high cylinder centered on that point.",,OFFICIAL
Abi-Dalzim's Horrid Wilting,8,Necromancy,1 action,150 feet,V S M,a bit of sponge,Instantaneous,false,false,"You draw the moisture from every creature in a 30-foot cube centered on a point you choose within range. Each creature in that area must make a Constitution saving throw. Constructs and undead aren't affected. A creature takes 12d8 necrotic damage on a failed save, or half as much damage on a successful one.",,OFFICIAL
Animal Shapes,8,Transmutation,1 action,30 feet,V S,,24 hours,true,false,"Your magic turns others into beasts. Choose any number of willing creatures that you can see within range. You transform each target into the form of a Large or smaller beast with a challenge rating of 4 or lower.",,OFFICIAL
Antimagic Field,8,Abjuration,1 action,Self (10-foot-radius sphere),V S M,a pinch of powdered iron or iron filings,1 hour,true,false,"A 10-foot-radius invisible sphere of antimagic surrounds you. This area is divorced from the magical energy that suffuses the multiverse. Within the sphere, spells can't be cast, summoned creatures disappear, and even magic items become mundane.",,OFFICIAL
Antipathy/Sympathy,8,Enchantment,1 hour,60 feet,V S M,either a lump of alum soaked in vinegar for the antipathy effect or a drop of honey for the sympathy effect,10 days,false,false,"This spell attracts or repels creatures of your choice. You target something within range, either a Huge or smaller object or creature or an area that is no larger than a 200-foot cube.",,OFFICIAL
Clone,8,Necromancy,1 hour,Touch,V S M,a diamond worth at least 1000 gp and at least 1 cubic inch of flesh of the creature that is to be cloned consumed and a vessel worth at least 2000 gp that has a sealable lid and is large enough to hold the creature being cloned,Instantaneous,false,false,"This spell grows an inert duplicate of a living, Medium creature as a safeguard against death. This clone forms inside a sealed vessel and grows to full size and maturity after 120 days.",,OFFICIAL
Control Weather,8,Transmutation,10 minutes,Self (5-mile radius),V S M,burning incense and bits of earth and wood mixed in water,8 hours,true,false,"You take control of the weather within 5 miles of you for the duration. You must be outdoors to cast this spell. Moving to a place where you don't have a clear path to the sky ends the spell early.",,OFFICIAL
Demiplane,8,Conjuration,1 action,60 feet,S,,1 hour,false,false,"You create a shadowy door on a flat solid surface that you can see within range. The door is large enough to allow Medium creatures to pass through unhindered. When opened, the door leads to a demiplane that appears to be an empty room 30 feet in each dimension, made of wood or stone.",,OFFICIAL
Dominate Monster,8,Enchantment,1 action,60 feet,V S,,1 hour,true,false,"You attempt to beguile a creature that you can see within range. It must succeed on a Wisdom saving throw or be charmed by you for the duration.","When you cast this spell with a 9th-level spell slot, the duration is concentration, up to 8 hours.",OFFICIAL
Earthquake,8,Evocation,1 action,500 feet,V S M,a pinch of dirt a piece of rock and a lump of clay,1 minute,true,false,"You create a seismic disturbance at a point on the ground that you can see within range. For the duration, an intense tremor rips through the ground in a 100-foot-radius circle centered on that point and shakes creatures and structures in contact with the ground in that area.",,OFFICIAL
